cell,seed,dom,alive,fuel,hoard
convpriced_k8,24,α,22,2,α:4.68;β:1.27
convpriced_k8,25,α,21,6,α:4.53;β:1.74
convpriced_k8,26,α,21,4,α:4.96;β:0.56
convpriced_k8,27,α,24,1,α:4.98;β:0.44
convpriced_k8,28,α,22,1,α:4.44;β:0.98
convpriced_k8,29,α,23,0,α:4.75;β:1.32
convpriced_k8,30,α,21,1,α:4.46;β:1.24
convpriced_k8,31,α,24,1,α:4.96;β:0.45
convpriced_k8,32,α,20,5,α:5.06;β:0.55
convpriced_k8,33,α,21,1,α:5.24;β:0.53
convpriced_k8,34,α,24,1,α:5.00;β:0.63
convpriced_k8,35,α,21,2,α:4.57;β:1.24
convpriced_k8,36,α,22,1,α:5.01;β:0.40
convpriced_k8,37,α,22,3,α:4.95;β:0.93
convpriced_k8,38,α,23,2,α:4.86;β:0.58
convpriced_k8,39,α,23,0,α:5.01;β:0.88
convpriced_k8,40,α,23,1,α:4.55;β:0.47
convpriced_k8,41,α,22,1,α:4.79;β:0.86
convpriced_k8,42,α,23,2,α:4.73;β:1.08
convpriced_k8,43,α,22,4,α:5.01;β:0.46
convpriced_k8,44,α,22,2,α:4.87;β:0.64
convpriced_k8,45,α,22,4,α:4.58;β:1.20
convpriced_k8,46,α,23,1,α:5.23;β:0.46
convpriced_k8,47,α,24,1,α:4.96;β:0.94
convpriced_k8,48,α,24,0,α:4.86;β:0.58
convpriced_k8,49,α,23,2,α:4.82;β:0.93
convpriced_k8,50,α,21,2,α:5.11;β:0.47
convpriced_k8,51,α,23,3,α:4.68;β:1.22
convpriced_k8,52,α,21,2,α:5.22;β:0.53
convpriced_k8,53,α,23,2,α:4.90;β:0.99
convpriced_k8,54,α,23,2,α:5.07;β:0.69
convpriced_k8,55,α,22,2,α:4.83;β:1.05
convpriced_k8,56,α,21,3,α:5.10;β:0.30
convpriced_k8,57,α,23,0,α:5.21;β:0.42
convpriced_k8,58,α,22,4,α:4.96;β:0.78
convpriced_k8,59,α,21,4,α:5.00;β:0.60
convpriced_k8,60,α,23,0,α:5.36;β:0.53
diffuse_k2,1,DEAD,0,24,α:1.01;β:2.22
diffuse_k2,2,α,11,0,α:1.55;β:0.73
diffuse_k2,3,α,14,0,α:1.30;β:1.30
diffuse_k2,4,α,11,1,α:1.37;β:1.26
diffuse_k2,5,α,3,12,α:1.38;β:1.25
diffuse_k2,6,α,9,3,α:1.42;β:1.12
diffuse_k2,7,α,15,6,α:1.19;β:1.10
diffuse_k2,8,DEAD,0,24,α:1.27;β:1.63
diffuse_k2,9,α,13,0,α:1.47;β:0.77
diffuse_k2,10,α,7,3,α:1.23;β:1.27
diffuse_k2,11,α,13,0,α:1.40;β:0.98
diffuse_k2,12,α,12,0,α:2.08;β:0.67
diffuse_k2,13,α,10,3,α:1.40;β:0.84
diffuse_k2,14,α,13,0,α:1.42;β:0.91
diffuse_k2,15,DEAD,0,24,α:1.55;β:1.09
diffuse_k2,16,β,20,3,α:0.66;β:2.07
diffuse_k2,17,DEAD,0,24,α:1.54;β:1.40
diffuse_k2,18,β,17,2,α:0.88;β:1.65
diffuse_k2,19,α,10,4,α:1.19;β:1.24
diffuse_k2,20,DEAD,0,24,α:1.63;β:1.74
diffuse_k2,21,α,14,0,α:1.81;β:0.94
diffuse_k2,22,DEAD,0,24,α:2.04;β:0.76
diffuse_k2,23,α,15,0,α:1.71;β:0.61
diffuse_k2,24,α,10,0,α:1.47;β:0.90
diffuse_k2,25,β,21,5,α:0.71;β:2.44
diffuse_k2,26,α,12,0,α:1.19;β:1.08
diffuse_k2,27,α,14,0,α:1.39;β:0.90
diffuse_k2,28,α,11,1,α:1.13;β:1.33
diffuse_k2,29,β,21,0,α:0.56;β:2.33
diffuse_k2,30,α,12,0,α:1.51;β:0.74
diffuse_k2,31,β,14,1,α:1.25;β:1.09
diffuse_k2,32,DEAD,0,24,α:1.91;β:1.35
diffuse_k2,33,α,1,15,α:1.45;β:1.22
diffuse_k2,34,DEAD,0,24,α:1.92;β:1.12
diffuse_k2,35,DEAD,0,24,α:1.93;β:0.98
diffuse_k2,36,β,19,3,α:0.57;β:2.50
diffuse_k2,37,α,11,2,α:1.37;β:1.02
diffuse_k2,38,α,17,1,α:1.11;β:1.23
diffuse_k2,39,β,19,0,α:0.66;β:2.52
diffuse_k2,40,α,8,0,α:1.40;β:1.00
diffuse_k2,41,β,20,2,α:0.73;β:2.42
diffuse_k2,42,α,13,3,α:1.46;β:0.90
diffuse_k2,43,DEAD,0,24,α:2.21;β:1.44
diffuse_k2,44,α,10,5,α:1.80;β:0.80
diffuse_k2,45,α,15,3,α:1.05;β:1.34
diffuse_k2,46,DEAD,0,24,α:1.85;β:1.18
diffuse_k2,47,DEAD,0,24,α:0.86;β:2.03
diffuse_k2,48,DEAD,0,24,α:1.35;β:1.76
diffuse_k2,49,α,13,0,α:1.28;β:1.34
diffuse_k2,50,DEAD,0,20,α:1.68;β:0.73
diffuse_k2,51,α,10,1,α:1.37;β:0.85
diffuse_k2,52,α,14,3,α:1.46;β:0.95
diffuse_k2,53,α,11,0,α:1.27;β:1.33
diffuse_k2,54,DEAD,0,24,α:1.36;β:2.13
diffuse_k2,55,α,10,4,α:1.46;β:0.79
diffuse_k2,56,α,11,0,α:1.66;β:0.72
diffuse_k2,57,α,14,0,α:1.52;β:0.71
diffuse_k2,58,α,10,7,α:1.12;β:1.39
diffuse_k2,59,α,11,5,α:1.67;β:0.82
diffuse_k2,60,β,21,0,α:0.71;β:1.91
diffuse_k8,1,α,22,0,α:3.44;β:0.94
diffuse_k8,2,α,23,0,α:3.76;β:0.49
diffuse_k8,3,α,23,0,α:3.53;β:0.91
diffuse_k8,4,α,23,0,α:3.01;β:1.66
diffuse_k8,5,α,21,0,α:3.52;β:0.73
diffuse_k8,6,α,24,0,α:3.78;β:0.43
diffuse_k8,7,α,22,0,α:3.14;β:1.36
diffuse_k8,8,α,24,0,α:2.16;β:2.55
diffuse_k8,9,α,22,0,α:3.16;β:1.36
diffuse_k8,10,α,23,0,α:3.10;β:1.33
diffuse_k8,11,α,23,0,α:3.31;β:1.40
diffuse_k8,12,α,23,0,α:3.35;β:1.22
diffuse_k8,13,α,22,0,α:3.66;β:0.49
diffuse_k8,14,α,22,0,α:3.62;β:0.76
diffuse_k8,15,α,24,0,α:3.33;β:1.00
diffuse_k8,16,α,21,0,α:3.63;β:0.51
diffuse_k8,17,α,21,0,α:2.56;β:2.15
diffuse_k8,18,α,23,0,α:3.69;β:0.49
diffuse_k8,19,α,21,0,α:3.81;β:0.45
diffuse_k8,20,α,23,0,α:3.17;β:1.46
diffuse_k8,21,α,22,0,α:3.09;β:1.33
diffuse_k8,22,α,21,0,α:3.27;β:1.10
diffuse_k8,23,α,24,0,α:3.82;β:0.48
diffuse_k8,24,α,23,0,α:3.50;β:0.72
diffuse_k8,25,α,23,0,α:3.73;β:0.45
diffuse_k8,26,α,23,0,α:3.94;β:0.29
diffuse_k8,27,α,23,0,α:3.46;β:0.90
diffuse_k8,28,α,23,0,α:3.50;β:0.70
diffuse_k8,29,α,23,0,α:3.35;β:0.97
diffuse_k8,30,α,21,0,α:3.68;β:0.63
