arm,seed,rescued,alive,gates_a,gates_m,qmarks,copiers,first_mu,events,exact
sloppy_e02,69,False,0,14,0,10,0,-1,1189,True
sloppy_e02,70,False,0,14,0,10,0,-1,1191,True
sloppy_e02,71,False,0,14,0,10,0,-1,1127,True
sloppy_e02,72,True,21,16,6,2,22,1042,6201,True
sloppy_e02,73,True,18,13,10,1,22,1214,6201,True
sloppy_e02,74,False,0,13,0,11,0,-1,1249,True
sloppy_e02,75,True,14,13,10,1,24,1364,6201,True
sloppy_e02,76,True,17,11,8,5,20,1149,6201,True
sloppy_e02,77,True,16,12,11,1,23,1517,6201,True
sloppy_e02,78,False,0,11,0,13,0,-1,1232,True
sloppy_e02,79,True,20,14,9,1,22,1331,6201,True
sloppy_e02,80,False,0,11,0,13,0,-1,1450,True
sloppy_e02,81,True,20,13,10,1,22,1185,6201,True
sloppy_e02,82,True,19,13,10,1,22,1138,6201,True
sloppy_e02,83,True,20,19,4,1,17,1076,6201,True
